Wallet Address,Total Rewards Earned,Tier
0x1cf98210f34cb989be9694de2091ca35dba9d928,23.54,0
0x89c613e9dbd1738b3dd142edd9caf21f3f560049,23.57,0
0x2a6b5204b83c7619c90c4eb6b5365aa0b7d912f7,23.77,0
0x4e154519ae2fd0198261295a51b4d116395ae4eb,23.90,0
0x64ddd8e88e08b21d7e63f7065423ded4a26f16d5,24.69,0
0xeea4a8463e5fc06f880242d552006d3597761642,24.89,0
0xfccef261b3def3f227c6369f24ccb340ed2a7a17,26.20,0
0x51c9a6880eef01c639231145512df83113711c40,26.21,0
0x52e3760cab4ca7ab7399ab61ccb07bea5a1196aa,26.48,0
0xced16eb4e6d88eae6443249ae9a9dfa384a90867,27.41,0
0x72468f3670bc48354e090d31d35103876a94b9c6,27.61,0
0xbd48205f3582a89aa59afa9aff7d7c1e73ed8d96,28.34,0
0x9d5471cfcbadd4700f5287125169dfcf6091068b,28.48,0
0xcd0d967449430caaabda422af22f64254c3f1168,29.19,0
0xf622a1072e6bb5d84f88715574786da5f8a0f243,29.55,0
0xabc776e633d3fbfe2192de319bf089ddb47486be,29.67,0
0xe6cfdaf74bfec00fafde9724a46cb052548c8488,30.02,0
0xed3c3fd027288dcb1f386eba464d4fabd22ffb01,40.20,0
0x609f63f0e1995a150e8ed33d4c6b29893a28e52c,40.33,0
0x9201c32ca9c224dcb8991e8afd6e7e08272130bd,41.01,0
0x1b2823e60859cd6476978464d7b3c951b5fcf843,41.39,0
0x033cbc3502fa72c4e4071c8263c3121fa3a84ca8,41.83,0
0xa195ea3c5bb4df15412b986f7aa0df23e47468c1,42.52,0
0x66220e6d4944f5d01b39543fb8050fd55804b0a8,42.70,0
0x6b5f4ebc6c853206e2e6c319b9b7c2f5f64e6831,42.90,0
0x5960c11cffa3575d6a72657c35f5646a3691e258,43.12,0
0x0c65be17e86bcb6019148be0a4e8f0a4510a70cb,43.33,0
0x7e256bced8187670759de81d4b29b944944d73c9,45.30,0
0x5f44261130f3722d4df179ec6b95d90a90441645,45.54,0
0x508ca1e5f176f23872802011f2163a3b876c01a5,45.98,0
0xd7a4467a26d26d00cb6044ce09ebd69edac0564c,46.14,0
0x023c60e3abe8369d8c574c45a72961a1a9cb2c4d,46.15,0
0xb4b35d7ba2a507eba7d15b06fdded697e33189e2,47.78,0
0x414113f5e5d0d34d43c589357739016ee27ade11,48.03,0
0x0caa30b7a830283794817dee2e7e7cf3bcb060a3,48.03,0
0xbfce5ef4f16522d9059da2776e4619f893a955cf,48.60,0
0x62e7a8dbb8d8538e1cdb5d893030bb16ea00b2f2,48.63,0
0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,48.94,0
0xf68594a774cca102ca79cbb4eb82ad95f537cca8,49.01,0
0xe34e7378a7667ab1395ab7184691049d195e8a6b,49.18,0
0xadbb2bae7f0cd584491c35089d8a819108a1276c,49.76,0
0x54d6f46a30b662baf483ffc00ddb0731478b3a85,50.40,0
0x13bc95719f8063f2ea296becfe9b952f77cf5ab6,51.04,0
0xc7efa766ba2b70a156d001e4e43513db5b3096e2,51.15,0
0xf8fcd5d52cb962df0d7d86728964342b79804154,51.62,0
0x8dee57809ed954a9fd0cacf6eb1f46b980b57017,51.84,0
0x13783136336932a54ae5a5939b237f78ae369036,53.27,0
0x7e82a7bb5e6787beb07c363a0fbb42304ac04525,54.68,0
0xbab4e80720aad105371e77249b4eab7f20a876fd,55.00,0
0xC3774b537e1725E4981fa78AA44AF07cc5EA016c,56.00,0
0x0e88ac34917a6bf5e36bfdc2c6c658e58078a1e6,58.88,0
0xd3ae074bb56323969667583901eb0e8a692c5772,58.97,0
0x31cd90c2788f3e390d2bb72871f5ad3f1a4b22a1,59.20,0
0x9D36f511B7Cf2743ceFC5c2A74155e825750F7B4,61.00,0
0xb77508795a4a0e398fc09f8e98862140b0e04c57,66.82,0
0x1369ed20ec057da63cba71cb19a4d8f43dc58a68,68.42,0
0x09bb59c870aa5cb0e7a01b2f96d72b29f3a4be90,69.06,0
0x10f2cf2bdf213495b2d4770e0b27cc65c4c3bf0c,69.61,0
0x97afbc5de091c34dd6a5c8ceed46d68f379bd95a,69.68,0
0xfe1cab307eac391ed1e6b2e763517878e2c0a1f0,70.08,0
0xddfca856bf3b9b7a0d510a74a348e4c473142763,70.26,0
0xcdb631b220cc680f8d756b3a0a0f4c1c271887a2,70.99,0
0xf19356adbfb270d792b0fa120e744e47926a06d0,71.04,0
0x97a1ca841b4792068932d4224681f6f6fa22c549,71.06,0
0x9be0542af065b03afdd18a299cae20c63bd8d980,72.00,0
0xa7e6cc1b23dcb615f7abf18cbaa4e0e74a0f1784,72.41,0
0x16368c3f1e009a991e0d6033b003b7b042ba3971,72.53,0
0x5781cb3b80822eeac045b153ba96d6e5cf38dafb,72.94,0
0xbd19a3f0a9cace18513a1e2863d648d13975cb30,72.94,0
0xdf43664aec3b994e1dd159ec59d45ba87927255b,73.51,0
0x4e8160d0e25a7437bd4eef6ff75d0521cb6157db,74.28,0
0xcdaDEEB962e41218695d82e4A5E0921510Bf1319,75.00,0
0x6Da1065fEE8aaA943E2d7a96e9D0A02ddc3B91AA,75.00,0
0x8184de93603a1ff15fd3acf73033247f083aa6f9,75.47,0
0x631c5e7feb04384b7d2510d13b809afbe481dcd3,77.00,0
0x0b162cbd60145129b27c449edb0be3777b6ea2a9,77.00,0
0xbe1416d0bccd1e820d20a84cff94a1cac25b5903,77.08,0
0x4759f2d0a32764db60993a911a5ef6a962f33d54,77.10,0
0x03c99dc0ac4bd5ada983de615416443b24bf98d6,77.13,0
0xefad51efebb2322f0856fa7cb09dff0c59c5c33b,77.22,0
0x7e3477c4ed69a8e7a001c87e9ea2882e9764dc31,77.23,0
0x64dd30c21da2adc9572d9fbb9e9edf93255594da,77.74,0
0x0268aa1755b49fa115a81090b836f2b111a20163,77.94,0
0xcd3e1a814e824df1bb129d3c199a496fc190343c,78.16,0
0x7a7acf2241c2b388b6b7eb8bba78f615f6f773b2,78.23,0
0x5dde09f57d58e0ef207400ff40f836ab5542e189,78.35,0
0x49a5492fdfe5acc966dd5f41310dfdfe8daa349c,78.37,0
0xd6a175759077d0bd45d67d9771d73acf9244ff2e,78.59,0
0x3b760888600d71fac7b87873e21334d89c05a78a,80.32,0
0x3a88b3f4495cb7d4e3b87bfa6cdc8dfb2103a173,80.93,0
0x295c0ec230fee9331884133a12840e905bad8187,81.07,0
0xc714f06d88aa1d70921736f66c2939f1261c2968,81.31,0
0x025c9288d0c417d585d14c7829b8d720e89bf777,81.45,0
0x1F9fECf4100f18a227fab7E3868cA89Ef6b9e9F7,82.00,0
0x4ccf0f776c97cdff57c9480b368b244b2065e008,83.00,0
0x2131cc1df85ea0393d2c68daa0cefdd124b699a4,86.00,0
0xd085016a66cee0c99fc660cccdd66cb5dd541034,88.31,0
0xdd4832d3cf87ec8c534d87bee0321237563386bb,89.92,0
0x442676a03e63f5f85baecf9b5dbfc1350a2d2e8e,91.85,0
0xc6a945f40885257734b5e767afc31d671283e4bb,92.89,0
0xfdd10eb634cf61e253dfa51d1a26797611cd0f48,95.79,0
0x6cfba969a424bac0f18d1ca674f34b8b2907bb5f,96.13,0
0x1facb0de71270ceadcb24d80eed38c48fd98216a,100.24,1
0x8905b22369a9e35ae130bea99d2588cda570ca15,101.11,1
0x7be102bad13c267f0629cb83e33d044706c31136,101.22,1
0x0cf6724eeab76f25802f02a4d65ca20d69352a84,102.57,1
0x6fEb1F41A6c0A90A98FFEdF71D4fd18b8f1072F4,104.00,1
0xf6e3d43eb13e11d880963b0265d6f8667e41ed8e,107.96,1
0x751f556a157f8cb70d5f37086664b437f339d914,111.13,1
0x89e52fd3b1c00ac56cb6b51c1b59f0a3530ee7d1,112.00,1
0x0ae710219b203965b219c16f6b56a0573bf3126c,114.67,1
0x5c75219792A8e069FE6f27889C44FE5eff42b156,115.00,1
0x39a84ffc7ebef9b97fd609051104c1d6376a6db4,116.33,1
0x397c9047ebe67a1b3f71b52503c3a3ca37e491c8,117.60,1
0xfb892f3acd2f1fc88088a988faf9f89c927c11d5,118.11,1
0x90125f9e5155f4965a2429d9a4b40283341d5ba2,118.39,1
0x97bcb2F948ea838e6d6f0cfA7828bcFCa69eBcee,119.00,1
0x876375aa8096a03f85d626304dd49a6c158783fd,119.00,1
0x3b1a1c6bf0a7ef0a5d1681f1414f0db99ea92bca,120.16,1
0xf9ad04eeae07c0e3b45330210a93f2d952539f0d,120.69,1
0x77eb87017a62abcaffcc63b8258c7bd0ebe036df,121.01,1
0xefd6b41e680d9ec2fe649f85a1540ff3bb042d1e,121.20,1
0xa31a8f3c45e65f3785825a73e24a32a1dee2aa25,123.73,1
0x9132cff1d4f2555d0fd09bde8486ab5ba3aed9ad,123.87,1
0x79084571E065717dC362bB949bd5f2E9a1baB094,124.00,1
0x208b2660e5f62cdca21869b389c5af9e7f0fae89,124.18,1
0xa97ca732232cd2acab9038a1943fe2a79fa1ccc8,124.42,1
0x6d0e659d0e7eafcb5c61b07c66618c47610d02e3,127.43,1
0xd4AC6c14B4C96F7e66049210F56cb07468028d4e,131.00,1
0xfb88a7f930f7ae368b6a230854d7195222221b71,131.40,1
0x4bf0a8b626f177a91fa1bfa6d768b65060c8f436,133.50,1
0xd829c493b68f5a0c3411088bc05329377b143b9e,134.95,1
0xc0d4060a5a29d2a4cf5c38ccf152c53cedefd74e,140.68,1
0xB522133dBd9C8B424429D89d821aeb2a115dB678,141.00,1
0x9ed266a53c461a6a69c2cc0a08bda6198e9bfb32,142.64,1
0x708526567d235d61ef20b3d2e925f1e4882548ed,147.96,1
0x181313C4aaB54FD818c727665C090dd4021D6429,150.00,1
0x1828c4bf78dab66b4b7debfaa38f0ad125ec8d15,152.93,1
0xde1fdcf14321d1881d464acc8e80623361acb528,156.99,1
0x8534e9360d72f3ae9480ac2ad10cd79c7d2a8db6,158.48,1
0x8d6230427a37986d25fe4d5b3d0aaef1b924fed6,160.87,1
0x50bca645b274a152a1c64b6251c0ac52725baac1,162.33,1
0x9d646ebf5ee72c8d72e4be30fa7f106004b0e954,162.67,1
0xcc3297df98a20fe25ba001d1ae60aaea55f766f9,163.64,1
0xd4fe8e6b18dd9a149c579da6008bd6161def580a,167.15,1
0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,168.91,1
0x794cae7dccad8294af2e5247750f771a2df76bbb,169.25,1
0x2cd08a6052bdd58218dcf4dea866f17c600083d9,179.04,1
0x9b6A52A88a1Ee029Bd14170fFb8fB15839Bd18cB,187.00,1
0x0f246a00d7325d2453664a47a93d99b88231259b,189.15,1
0x0D60dc8735803Eedc43AF8E646360dF466DB213C,190.00,1
0xb95e17140c1eF2C89d1fAb89BF6012Af90e3fa2D,196.00,1
0x430433c63a50D9Cf77bbaa86A9806bA71f2bcB0d,202.00,1
0x6ff8e5dbf300dbab832413e55b3e7ae5c6ef8766,203.00,1
0xcfecbfd95f0305aa9bf496ec44bb35808179ad67,204.24,1
0x0ce522cad66fa4d6529b2db76e0a91d53296d58b,205.17,1
0x81cdb40ec797ad0daa2c670b520d7bf4263781bf,207.39,1
0x67E8014dEa7Ff1b1C650fcB355519ce515D8195f,211.00,1
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,218.03,1
0xc1730da38cac500391dd4d7e1c516105aeb73232,218.74,1
0x9e9ef902dab475e8d4bf7e7480c5ad2631dea2ec,218.78,1
0xC00DA57cDE8dcB4ED4a8141784B5B4A5CBf62551,220.00,1
0x5e4aadfdb8e274e959946c43f974d9d3e06d19a9,220.64,1
0x99a03cf527acc798585c025068bbba0b9e645347,223.58,1
0xb188fed9cd770637a151a0fa1e8d990d90149bd5,225.23,1
0xb94dc9152d1702e724b821174e9247364e677805,228.81,1
0xF7D1D901d15BBf60a8e896fbA7BBD4AB4C1021b3,232.00,1
0xa0a28364bd4269e0c0fcd7224a0ccf0837efb196,233.58,1
0xc8dcafedd535cfbfe190b24c7435f50cc7377468,233.77,1
0x5c4f90a7b1348abf004e4bae4bd0a34497c9456f,234.57,1
0x3a289de9367ebFfCd83E96562bcd38A2338fF612,235.00,1
0x585a3b64736f949c9e5046418f55aee640920a56,240.59,1
0xb715b24fb415e52d74c26812e17efe320ed9ba78,240.61,1
0x24042be43937bfef9f2282929ec036e9f6876bdf,244.12,1
0x97a3515b63239e407ca475dda80f32d575a82063,244.93,1
0xd30286180e142628cc437624ea4160d5450f73d6,246.89,1
0xd1a8dd23e356b9fae27df5def9ea025a602ec81e,248.24,1
0x07095985fc6906887fcf84c7fd4ccdff509fba5c,248.35,1
0xe93336103ae4e27c64beb93d5729eda9fc2565fb,250.09,2
0xd8403a7985b9f0b54fd4a90ec1568d41485541b5,251.84,2
0xaabb1dc1f445393a0c9b15613b6f38b0e4e64da8,257.78,2
0xa2b272a1b04d9ec7be7e904fe750d54b0c85d576,259.74,2
0x60646c2ec7623d365575850583f7a74bb44c69db,262.95,2
0xce7fbaec3992bd48bcdde1d85f492a2096799c41,264.19,2
0x1901d15b1433cbb3687bfd56c758ba50791e0176,278.79,2
0x539c0c008ad02a090767f8a95b9ca97a50aa2491,280.96,2
0x02487965751f3cb20Bd2DA5Ff21Ffb8036D0ec18,287.00,2
0x55076af0fa67e7efba2fe8636227e89e08cba81e,293.23,2
0x0db58056ec0b13ade7041f36bb1d411c57d36e8b,295.27,2
0xC5337CeE97fF5B190F26C4A12341dd210f26e17c,302.00,2
0x9f75582d2be13b5ee454161ee394daada8b39efa,302.82,2
0x131EC028Bb8Bd936A3416635777D905497F3D21f,303.00,2
0xde22a4a13d6dfae01b20e40ea2b5a14613e037fd,308.78,2
0x5d6d6007d704035b9ff7c7bd26490efbf22cb878,326.78,2
0x4D9339dd97db55e3B9bCBE65dE39fF9c04d1C2cd,343.00,2
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,346.33,2
0x1672ffc5e47b03f1e524f8a1276ccc7bf51e994b,347.30,2
0x62bc8ae3c235ded14ebf9fe8f72e827204c4efe4,358.26,2
0x8a371e00cd51E2BE005B86EF73C5Ee9Ef6d23FeB,365.00,2
0x99342D3CE2d10C34b7d20D960EA75bd742aec468,369.00,2
0x4f557838f6a3144dd7153e448defee407f3120e3,386.89,2
0x43b133a33b7d3628907a79e7e0cee4fcd4e20cb3,387.00,2
0x4654a70c7c13ac3004819b881dc450e8a1a2dc2e,397.14,2
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,405.64,2
0x3ba4abe87a91057c6fd34a422e461a75eda26bfd,417.60,2
0xb10f1c8df7b25ceeedb5244f8bbef99a5af1200d,423.00,2
0xada5635c573316ef8cc34e3d21803378a7dd73eb,455.88,2
0x11042dd5bff772e5f9b476f7e27b18bbe49bb168,456.73,2
0x5a1d61c71cfcf21f82129392d54f39e80139be30,461.39,2
0x6547eba23c4acfac05f6074ee98177ef1660458a,480.60,2
0xCb3Eded2537484b79A95D4f3a2356C1567C67Bf9,489.00,2
0x315cf353832fd70e640e9d5e64c43fcfb7f22853,491.36,2
0x48b2b4766c9a5dcbc81a75911f71073a7b06b225,516.70,3
0x3d95461f521b601c9f87f6b24496ca9a30390f69,518.01,3
0xf6320e6195a816e44f9599f322d489cabbc45d24,524.00,3
0x55A5705453Ee82c742274154136Fce8149597058,532.00,3
0x847f89f5c9da3431682e70c95a96df8d400401fe,544.74,3
0x092036f5ad401068e6e10244c6e0edb7c44d207a,556.42,3
0x2e2c4ac19c93d0984840cdd8e7f77500e2ef978e,559.00,3
0x918470358938f3434df59af1d85f25c64cd60e4b,563.77,3
0x9e11501e38e8a435feacdda3a52fc63346216d48,631.73,3
0x12dc85203e86dd1ea7474b8772af730484f927a7,645.90,3
0x1ff127f31982e0ef82f5ec2064b6185d57417a1a,677.18,3
0x8922c8ac42ae84ced3a4e8d54ce7fcb3d52ebcb2,677.42,3
0xbfe76f56419fb9276205a11292ad14c15cae4ff2,679.18,3
0x75b529Fb1eD418bC7aB86145BB17827D32AfA3F9,692.00,3
0x7e3d0022433674b958abfb6212282d8d323b484d,720.88,3
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,721.00,3
0x2f9b1bedcbf3f2e060806b96d519f6261e6fce13,722.00,3
0x583b16a131782fa2c916ee8906a0f30cde1d533e,736.00,3
0xd865cd7ccc91f83692ab330981c3e3e9d7a0526a,743.54,3
0xca057d71ef5419d6c78e5271565acdc0301f0480,781.30,4
0x31ab637bd325b4bf5018b39dd155681d03348189,783.55,4
0x2298947e6c1d6c282c258b3e5f8989670a8e346f,792.55,4
0x3b6ee5231c48216d738cde4746a1c2282dad3bec,809.00,4
0x60215277d09B7726879c6A38f6dC17FA13f57197,878.00,4
0x03d8af926f9779f2bbd89c4ab338ae8cfa7bdc02,881.56,4
0x9cfa5c4bfe08a1a3f7c17d6503eeb23a0290c4ca,884.00,4
0x44a4a11205da290a00fbea0ea0381aa068a95129,930.00,4
0x85ba183fb4c16d435b076dde459dafc8eff864d8,935.49,4
0x13b378e695625abffb1e32d978113786ba0737f6,944.07,4
0x443baef78686fc6b9e5e6daea24fe26a170c5ac8,"1,167.33",5
0x90b265eb08d3ce4d364177fb3af72b8e890c4238,"1,226.48",5
0x002636f2be4aacfdc96c5f4d2e1363273fe7f9c7,"1,304.72",5
0xb6E8a285202710Be85FB68bE6E5659A53B4Abb9c,"1,336.00",5
0xdce69dc54af48e325325e279887fd3fbcfa09109,"1,421.86",5
0xc2564e41b7f5cb66d2d99466450cfebce9e8228f,"1,479.39",5
0x51a4fdb15787bd43fe3c96c49e559526b637bc66,"1,646.04",5
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,"1,749.06",5
0x22a922465119bfc65dc0832b656baa981d8d7eb9,"2,369.14",5
0x17d830c1d6246982710ae3cf3b948d55f33f914b,"2,505.99",5
0x89cb36f8b29084e883738a0708f1abc6e4c25c07,"2,835.26",5
0xbe95bb47789e5f4af467306c97ded0877bf817b5,"2,892.47",5
0xb8c198e8f563096c9df0067e7e64a4da8c129d5a,"2,974.89",5
0xa1f70ffa4322e3609dd905b41f17bf3913366bc1,"3,045.17",5
0x96d821b36768a4e8dbc1b66b721221fd91f7f936,"3,234.07",5
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,"3,486.05",5
0x3207d4728c32391405c7122e59ccb115a4af31ea,"3,520.31",5
0x6faad1230ae1153662e5f962933294495510b50f,"3,878.23",5
0x03c25e5fa3b220f7ad11809149b069856de08e4a,"4,170.00",5
